"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"CONVOLVULACEAE","Jacquemontia ferruginea Choisy*",NA,"41164","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"CUCURBITACEAE","Melancium campestre Naudin",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CUNONIACEAE","Lamanonia ternata Vell.","cangalheiro","41140","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYATHEACEAE","Cyathea atrovirens (Langsd. & Fisch.) Domin","xaxim-verde-escuro",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYPERACEAE","Rhynchospora  corymbosa  (L.) Britton","capituva",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYPERACEAE","Rhynchospora  exaltata Kunth*","periperi","41108","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYPERACEAE","Rhynchospora  splendens Lindm.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYPERACEAE","Rhynchospora consanguinea (Kunth) Boeckeler",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"CYPERACEAE","Scleria latifolia Sw.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"DENNSTAEDTIACEAE","Pteridium aquilinum (L.) Kuhn*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"DILLENIACEAE","Davilla rugosa Poir.","cipó-cabloco",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"EBENACEAE","Diospyros hispida  A.DC.","caqui-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ELAEOCARPACEAE","Sloanea monosperma  Vell.*","ouriço",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERIOCAULACEAE","Eriocaulon sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERIOCAULACEAE","Paepalanthus sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERYTHROXYLACEAE","Erythroxylum cuneifolium (Mart.) O.E.Schulz.","mercúrio",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERYTHROXYLACEAE","Erythroxylum deciduum A.St.-Hil.","cocão",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERYTHROXYLACEAE","Erythroxylum sp.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"ERYTHROXYLACEAE","Erythroxylum suberosum  A.St.-Hil.","galinha-choca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"EUPHORBIACEAE","Alchornea triplinervia (Spreng.) Müll.Arg.","tapiá",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"EUPHORBIACEAE","Croton floribundus Spreng.","capixingui",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"EUPHORBIACEAE","Croton serpyllifolius Baill.*",NA,"41168","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
