Nome_UC,Estado,Municipio,Nome_Alternativo,Relação,Confiança,Observações,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL DE VASSUNUNGA,São Paulo,Santa Rita do Passa Quatro,Gleba Maravilha,Igual,Ouro,"A Gleba Maravilha equivale a 0,075% da ARIE",,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Gleba de Cerrado Pé de Gigante,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL DE VASSUNUNGA,São Paulo,Santa Rita do Passa Quatro,"Parque Estadual de Vassununga, Gleba Maravilha",Igual,Ouro,"A Gleba Maravilha equivale a 0,075% da ARIE",,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Parque Estadual de Vassununga. Gleba Cerrado Pé-de-Gigante,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Mata Capetinga,Disjunto,Zero,Se refere à mata das glebas Capetinga Oeste e Capetinga Leste a 029% da ARIE,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,São Paulo,Santa Rita do Passa Quatro,Parque Estadual do Vassununga,UC dentro da loc.,Prata,Sobreposição de 98.92% de acordo com o ISA,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Fazenda Santa Genebra, Barão Geraldo. Mata Higrófila. Borda da mata",,,Verificar a área de Mata Hifrógila,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Fazenda Santa Genebra, Barão Geraldo. Mata Higrófila. Interior da mata",,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Fazenda santa Genebra,UC dentro da loc.,Prata,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Barão Geraldo,UC dentro da loc.,Bronze,,,,,,,,,,,,,,,,,,,,,
