Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
PMSP,PMSP00000832,PMSP,,,Species,FABACEAE Peltophorum dubium (Spreng.) Taub.,,Fabaceae,Peltophorum,dubium,,(Spreng.) Taub.,S. Honda,--/02/1987,no,S. Honda,M.S.F. Carneiro,,10/02/1987,,"Árvore, 6 m alt., 10 cm DAP (3 ramos); flores amarelas; frutos imaturos verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000850,PMSP,,,Species,FABACEAE Calliandra brevipes Benth.,,Fabaceae,Calliandra,brevipes,,Benth.,V.C. Souza 1987/ E.R. Souza in REFLORA,--/--/2010,no,S. Honda,V.C. Souza,,23/04/1987,,"Arbusto, 1,5 m alt.; botões vermelhos, estames alvos na base e rosa forte no ápice.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000856,PMSP,,,Species,FABACEAE Senna spectabilis (DC.) H.S.Irwin & Barneby,,Fabaceae,Senna,spectabilis,,(DC.) H.S.Irwin & Barneby,G.O. Romão,25/09/1998,no,S. Honda,V.C. Souza,,23/04/1987,,"Árvore, 6 m alt., 15 cm DAP; flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000859,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda/ G.O. Romão,14/07/1987,no,V.C. Souza,,,12/05/1987,,"Arvoreta com ramos retorcidos, ca. 2 m alt.; flores amarelas; frutos castanho-escuros.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000935,PMSP,,,Species,FABACEAE Acacia mearnsii De Wild.,,Fabaceae,Acacia,mearnsii,,De Wild.,J.Y. Tamashiro,--/02/1998,no,S. Honda,M.O. Pedraz,,20/08/1987,,"Árvore, 6 m alt.; flores de cor creme, aromáticas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000944,PMSP,,,Species,FABACEAE Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,,Fabaceae,Senna,macranthera,,(DC. ex Collad.) H.S.Irwin & Barneby,J.C. Bueno,17/09/2008,no,L. Pacca,G.B. Oliveira,66,12/02/2008,,"Árvore, 15 m alt., 9,8 cm DAP; flores.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00000985,PMSP,,,Species,FABACEAE Holocalyx balansae Micheli,,Fabaceae,Holocalyx,balansae,,Micheli,A. Sartori 12/1997/ FFESP,--/--/2016,no,S. Honda,,,04/09/1989,,"Árvore, 8 m alt., 30 cm DAP; flores verdes.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001045,PMSP,,,Species,FABACEAE Brownea grandiceps Jacq.,,Fabaceae,Brownea,grandiceps,,Jacq.,V.C. Souza,--/--/2000,no,V.C. Souza,M.O. Pedraz,,09/10/1987,,"Árvore, 5 m alt.; flores com pétalas vermelhas e anteras amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001143,PMSP,,,Species,FABACEAE Tipuana tipu (Benth.) Kuntze,,Fabaceae,Tipuana,tipu,,(Benth.) Kuntze,V.C. Souza,26/11/1987,no,V.C. Souza,,,26/11/1987,,"Árvore, 6 m alt.; flores alaranjadas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Escada.,,
PMSP,PMSP00001159,PMSP,,,Species,FABACEAE Desmodium incanum (Sw.) DC.,,Fabaceae,Desmodium,incanum,,(Sw.) DC.,A.M.G.A.Tozzi,--/09/1997,no,V.C. Souza,,,04/12/1987,,"Erva semi-ereta, flores róseas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
